ArticleCode;TrueDemandSegment;TrueProfile;Color;Category;Brand;Price;Demand01;Demand02;Demand03;Demand04;Demand05;Demand06;Demand07;Demand08;Demand09;Demand10;Demand11;Demand12;Demand13;Demand14;Demand15;Demand16;Demand17;Demand18;TotalDemand
505;5;2;Brown;Accessories;Supranu ;1.54;73;64;25;55;38;49;45;46;33;30;34;29;22;25;25;19;10;13;635
506;1;3;Yellow;Games;Dynotri ;32.03;6;3;4;4;4;7;4;3;5;3;4;5;4;5;4;3;4;5;77
507;2;3;Green;Telephone;Mudeo ;12.55;10;9;8;8;8;13;12;10;15;9;11;12;11;13;6;8;14;7;184
508;3;3;Gray;Television;Dynotri ;4.82;8;16;9;15;13;11;15;8;16;7;4;14;10;13;14;13;12;18;216
509;4;3;Purple;Kitchen;Dynotri ;4.12;28;32;22;15;20;28;24;11;16;24;14;28;14;12;25;22;25;22;382
510;5;3;Red;Computers;Hyperive ;4.03;37;14;41;43;62;38;42;42;39;22;42;44;53;35;29;21;25;42;671
511;1;1;Black;Television;Octozzy ;54.8;0;1;1;1;1;1;2;2;2;2;2;2;2;3;2;4;3;6;37
512;2;1;Green;Accessories;Animity ;11.25;4;6;6;6;6;7;6;9;10;13;9;4;11;15;9;7;15;14;157
513;3;1;White;Sound;Mudeo ;8.75;5;4;7;7;7;7;14;13;15;9;12;18;17;18;19;18;31;26;247
514;4;1;Blue;Accessories;Octozzy ;11.63;7;7;11;11;9;7;12;17;21;12;20;18;22;25;33;38;21;39;330
515;5;1;Red;Kitchen;Mudeo ;3.4;15;17;30;44;38;17;26;36;53;32;64;67;75;54;58;75;82;136;919
516;1;2;Gray;Accessories;Octozzy ;15.43;4;3;3;4;3;2;2;2;2;1;1;1;2;1;1;1;1;0;34
517;2;2;Green;Accessories;Transible ;16.37;23;11;23;16;10;11;9;8;8;10;6;3;7;4;4;3;5;3;164
518;3;2;Orange;Kitchen;Supranu ;4.31;23;38;12;32;14;16;21;12;17;5;9;11;10;7;8;5;8;7;255
519;4;2;Purple;Tablets;Kayosis;8.42;47;31;22;31;30;16;23;20;15;7;12;13;13;13;12;9;10;3;327
520;5;2;Red;Photography;Dynotri ;2;50;51;40;47;22;21;21;26;33;17;21;20;21;12;10;14;14;10;450
521;1;3;Green;Telephone;Dynotri ;44.66;3;2;3;5;3;3;5;3;2;4;3;2;5;3;4;2;4;4;60
522;2;3;Black;Telephone;Outise ;5.84;6;10;11;10;11;12;13;8;11;5;8;10;15;11;8;12;3;7;171
523;3;3;Orange;Television;Verer ;0.2;8;14;15;14;9;18;9;15;13;14;16;17;10;16;21;17;10;14;250
524;4;3;Purple;Accessories;Verer ;2.41;9;18;15;14;12;14;21;16;18;20;24;24;26;24;28;18;21;23;345
525;5;3;Orange;Computers;Dynotri ;4.99;54;35;44;49;39;49;45;30;23;56;32;47;17;27;44;37;18;43;689
526;1;1;Black;Kitchen;Mudeo ;46.9;1;2;3;2;2;2;6;4;4;3;7;5;5;6;6;3;10;16;87
527;2;1;Black;Games;Animity ;13.51;3;4;3;3;5;4;7;8;10;13;8;11;8;12;10;19;26;29;183
528;3;1;Orange;Smart home;Octozzy ;2.79;8;6;8;12;6;8;8;13;13;17;11;21;10;28;21;25;33;24;272
529;4;1;Purple;Television;Outise ;2.71;4;7;7;8;11;11;12;12;16;23;14;15;21;23;21;28;36;58;327
530;5;1;Red;Tablets;Mudeo ;3.7;12;10;19;18;12;15;28;32;23;33;18;18;40;50;36;42;39;77;522
531;1;2;Red;Tablets;Kayosis;32.24;10;9;7;10;5;7;5;5;4;4;5;3;4;3;3;3;2;2;91
532;2;2;Green;Photography;Kayosis;14.9;19;8;13;8;9;6;7;12;6;5;7;4;5;4;5;3;3;3;127
533;3;2;Orange;Accessories;Supranu ;12.25;31;28;20;19;14;21;14;13;13;13;8;8;9;6;6;4;6;4;237
534;4;2;Green;Photography;Transible ;3.54;37;40;36;20;23;32;16;23;17;10;13;15;13;9;10;10;9;7;340
535;5;2;Brown;Photography;Verer ;4.32;67;99;78;78;57;60;44;35;38;29;25;13;25;15;25;22;14;18;742
536;1;3;Black;Sound;Hyperive ;44.95;3;4;4;2;2;2;3;3;2;3;3;4;3;2;1;3;3;3;50
537;2;3;Green;Computers;Dynotri ;15.01;8;7;9;8;12;13;12;14;10;8;7;14;10;10;13;15;9;7;186
538;3;3;Gray;Telephone;Hyperive ;3.89;12;15;14;18;22;20;17;11;19;17;14;19;13;20;16;12;13;22;294
539;4;3;Blue;Telephone;Dynotri ;7.06;21;36;27;20;26;30;20;27;14;26;28;26;31;27;23;19;15;31;447
540;5;3;Red;Games;Verer ;2.55;37;34;6;33;23;25;21;21;23;32;31;27;21;30;30;29;16;24;463
541;1;1;Yellow;Smart home;Animity ;67.55;1;1;1;2;2;2;2;2;2;3;2;2;3;4;3;6;6;5;49
542;2;1;Black;Television;Mudeo ;19.14;4;4;4;5;3;8;8;8;8;11;15;10;11;16;16;23;21;20;195
543;3;1;Blue;Kitchen;Outise ;6.88;8;8;6;6;10;9;10;12;11;12;19;23;17;20;18;35;26;34;284
544;4;1;Blue;Smart home;Outise ;0.86;9;12;8;7;10;12;19;9;15;16;17;24;28;27;22;33;45;20;333
545;5;1;Purple;Television;Animity ;1.65;13;11;18;15;23;22;32;28;31;16;35;27;26;51;62;40;96;82;628
546;1;2;Yellow;Tablets;Kayosis;39.59;8;6;5;3;3;3;3;3;2;3;3;3;1;2;2;2;1;1;54
547;2;2;Green;Games;Kayosis;26.59;22;16;16;13;9;9;13;7;10;7;7;6;6;6;4;4;4;3;162
548;3;2;Orange;Photography;Kayosis;8.52;24;16;25;19;15;19;13;18;13;14;9;9;6;7;8;4;4;5;228
549;4;2;Purple;Telephone;Transible ;8.72;57;31;48;18;24;26;20;26;27;21;14;15;7;5;10;9;9;9;376
550;5;2;Brown;Accessories;Transible ;1.84;84;95;88;88;69;41;77;50;65;48;44;27;18;34;23;19;12;22;904
551;1;3;Yellow;Telephone;Dynotri ;10.05;5;3;3;4;5;4;5;5;3;3;4;5;5;4;4;3;3;5;73
552;2;3;Gray;Telephone;Animity ;14.67;6;7;7;9;12;8;10;7;8;9;9;7;11;8;9;10;9;9;155
553;3;3;Brown;Computers;Dynotri ;12.98;11;19;18;18;10;12;13;17;11;19;13;14;13;13;16;18;16;18;269
554;4;3;Blue;Computers;Dynotri ;5.73;19;24;28;26;18;28;20;18;28;29;21;19;18;30;17;18;25;22;408
555;5;3;Green;Telephone;Verer ;5.15;34;37;28;33;39;35;48;35;47;31;33;35;39;40;30;41;33;17;635
556;1;1;Orange;Kitchen;Verer ;36.27;1;1;2;2;3;3;2;4;3;4;4;3;5;5;5;5;6;6;64
557;2;1;Green;Sound;Octozzy ;11.12;4;4;1;5;3;7;6;8;8;6;12;9;13;9;20;17;15;14;161
558;3;1;Orange;Smart home;Octozzy ;9.03;6;4;4;6;5;7;8;10;15;8;17;19;23;31;29;25;31;27;275
559;4;1;Purple;Sound;Animity ;7.61;6;11;9;13;8;14;13;16;10;10;24;20;22;32;38;26;36;37;345
560;5;1;Brown;Television;Octozzy ;2.47;18;18;17;21;15;20;42;34;38;34;42;29;58;69;49;78;66;97;745
561;1;2;Yellow;Photography;Octozzy ;18.88;12;17;10;10;7;7;8;5;6;4;4;4;3;4;3;3;3;3;113
562;2;2;Green;Tablets;Kayosis;5.72;16;17;12;14;14;8;6;3;11;6;8;6;4;5;4;4;2;2;142
563;3;2;Orange;Accessories;Transible ;11.68;36;14;31;32;22;14;20;20;22;17;10;16;11;12;5;7;4;6;299
564;4;2;Blue;Accessories;Transible ;4.56;42;36;37;30;27;29;26;24;23;22;15;20;18;9;11;11;10;11;401
565;5;2;Yellow;Kitchen;Transible ;8.48;66;46;34;34;55;36;41;22;17;18;17;14;24;8;16;16;8;10;482
566;1;3;Black;Telephone;Dynotri ;22.17;4;4;4;4;4;3;2;3;3;3;3;4;3;4;6;5;4;2;65
567;2;3;Green;Computers;Octozzy ;15.82;11;13;13;14;12;9;12;10;10;11;11;11;9;12;9;10;10;7;194
568;3;3;Orange;Games;Hyperive ;5.14;18;13;13;22;17;19;11;24;18;11;13;13;16;16;12;17;18;14;285
569;4;3;Purple;Computers;Octozzy ;4.58;13;25;25;29;24;26;34;24;22;30;26;18;37;21;21;25;32;24;456
570;5;3;Red;Kitchen;Dynotri ;3.06;28;39;55;27;49;51;53;35;55;47;35;27;20;41;41;32;46;47;728
571;1;1;Red;Kitchen;Mudeo ;191.16;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;2;1;2;16
572;2;1;White;Kitchen;Mudeo ;15.62;3;3;4;4;5;6;3;6;7;5;5;4;11;14;13;13;7;23;136
573;3;1;Gray;Kitchen;Mudeo ;7.19;9;6;9;11;16;11;6;9;12;18;18;14;15;27;27;22;33;45;308
574;4;1;Blue;Kitchen;Octozzy ;5.34;7;7;4;9;7;10;13;21;11;22;22;25;23;25;21;37;26;44;334
575;5;1;Brown;Television;Mudeo ;4.63;8;10;11;15;17;23;14;18;25;29;12;34;27;29;45;37;34;58;446
576;1;2;Green;Photography;Kayosis;19.59;14;14;10;7;9;6;5;4;7;4;3;5;3;4;4;3;2;3;107
577;2;2;Green;Smart home;Kayosis;10.72;26;17;13;17;14;14;14;8;11;8;5;6;4;5;5;5;3;5;180
578;3;2;Gray;Games;Supranu ;5.02;48;33;35;15;13;21;22;9;23;14;14;18;5;11;9;5;9;7;311
579;4;2;Purple;Tablets;Verer ;7.47;47;23;31;31;22;23;13;18;28;10;13;14;11;10;14;9;9;4;330
580;5;2;Brown;Tablets;Transible ;4.82;71;40;51;46;44;37;43;26;30;19;26;24;15;27;18;13;20;13;563
581;1;3;Red;Games;Dynotri ;23.3;6;9;6;6;6;7;6;7;4;7;7;4;6;4;7;7;5;4;108
582;2;3;White;Telephone;Animity ;9.09;14;13;8;13;11;12;9;12;7;8;9;10;8;10;13;11;8;8;184
583;3;3;Gray;Telephone;Dynotri ;12.49;11;14;15;9;11;13;8;14;14;9;14;9;17;11;13;13;13;13;221
584;4;3;Purple;Telephone;Hyperive ;2.41;29;14;30;24;21;21;16;15;27;11;16;14;12;18;25;27;24;28;372
585;5;3;Brown;Telephone;Verer ;5.5;27;32;28;27;30;28;17;39;39;21;24;20;34;31;32;46;49;38;562
586;1;1;White;Sound;Mudeo ;41.54;1;1;1;1;1;1;2;1;2;1;2;1;2;2;3;2;3;3;30
587;2;1;Green;Television;Verer ;11.75;5;4;4;6;6;5;4;6;6;8;11;10;12;13;13;14;15;14;156
588;3;1;Orange;Accessories;Animity ;7.98;2;8;2;13;4;11;14;14;9;20;14;19;21;17;30;29;36;46;309
589;4;1;Purple;Sound;Outise ;7.16;9;9;5;10;13;15;18;21;18;24;17;19;20;29;36;60;40;40;403
590;5;1;White;Photography;Mudeo ;4.81;13;11;16;15;21;23;28;25;30;49;37;45;38;45;48;24;51;45;564
591;1;2;Yellow;Photography;Supranu ;3.08;8;10;7;8;6;7;7;4;6;4;4;3;6;3;2;4;1;2;92
592;2;2;White;Accessories;Transible ;11.86;18;9;13;15;12;7;10;11;8;8;6;6;5;7;5;4;6;5;155
593;3;2;Gray;Tablets;Supranu ;0.6;35;25;26;9;24;21;20;13;15;19;15;10;6;8;6;11;6;7;276
594;4;2;Blue;Photography;Supranu ;6.39;42;34;21;28;26;28;16;15;15;12;13;22;10;9;9;9;10;7;326
595;5;2;Red;Photography;Kayosis;1.22;86;94;50;49;54;48;39;33;34;28;36;41;20;26;16;20;12;17;703
596;1;3;Black;Computers;Dynotri ;22.95;5;3;7;7;5;4;3;4;5;4;6;5;5;7;3;3;8;4;88
597;2;3;White;Computers;Dynotri ;9.64;11;11;8;8;6;9;8;11;9;10;10;9;7;7;7;8;11;7;157
598;3;3;Gray;Computers;Verer ;3.2;12;10;8;14;13;7;7;16;15;17;14;14;13;14;10;15;8;9;216
599;4;3;Blue;Computers;Supranu ;8.62;14;18;20;32;19;28;19;24;31;22;29;19;18;34;22;20;26;11;406
600;5;3;Red;Accessories;Hyperive ;1.59;53;37;50;63;71;37;49;54;43;28;45;46;54;50;33;54;39;78;884
601;1;1;Yellow;Kitchen;Outise ;24.06;0;1;1;1;1;2;2;2;2;2;3;4;4;3;5;4;4;2;43
602;2;1;White;Smart home;Mudeo ;12.85;5;3;4;6;4;7;7;10;5;12;10;9;11;10;14;10;16;26;169
603;3;1;Orange;Television;Mudeo ;4.12;4;7;12;7;12;11;8;13;13;20;12;21;17;18;30;32;29;33;299
604;4;1;Purple;Sound;Mudeo ;7.02;11;8;11;17;14;18;10;18;26;30;20;31;30;46;57;37;56;55;495
605;5;1;Brown;Smart home;Outise ;5.11;16;25;17;21;31;40;28;39;46;42;43;51;41;52;49;49;95;65;750
606;1;2;Black;Photography;Supranu ;25.79;12;7;2;6;8;8;8;5;6;3;4;3;3;4;3;3;2;2;89
607;2;2;Green;Games;Supranu ;16.63;11;16;13;8;13;13;10;10;5;6;7;7;4;7;5;5;5;3;148
608;3;2;Gray;Accessories;Verer ;6.98;22;18;22;9;14;9;9;8;8;6;10;6;7;4;5;6;7;4;174
609;4;2;Blue;Tablets;Transible ;0.54;32;31;33;23;28;11;26;17;16;17;16;9;8;12;12;8;11;8;318
610;5;2;Red;Accessories;Verer ;6.63;49;59;45;33;38;36;45;26;33;21;13;20;23;14;14;13;7;12;501
611;1;3;Black;Computers;Verer ;15.93;7;8;7;9;7;4;8;6;7;7;6;4;5;3;8;5;5;5;111
612;2;3;White;Computers;Animity ;10.54;12;8;5;12;12;10;10;8;12;13;6;12;10;12;11;8;5;5;171
613;3;3;Gray;Games;Verer ;15.19;13;17;13;12;7;9;6;10;12;12;11;14;16;8;16;12;5;11;204
614;4;3;Blue;Television;Verer ;9.52;32;23;36;18;13;31;14;25;20;24;26;21;25;21;25;14;22;24;414
615;5;3;Red;Games;Hyperive ;3.65;51;22;38;46;56;35;32;33;44;42;42;27;33;35;34;26;33;42;671
616;1;1;Yellow;Telephone;Mudeo ;13.85;1;1;1;1;1;1;1;1;1;2;2;3;4;3;4;4;3;5;39
617;2;1;White;Smart home;Mudeo ;8.32;5;4;5;5;7;7;8;12;6;11;10;6;15;16;6;14;22;8;167
618;3;1;White;Sound;Mudeo ;11.35;4;6;2;6;4;8;6;7;13;14;12;12;18;15;7;16;25;13;188
619;4;1;Blue;Television;Outise ;1.74;9;9;7;12;16;22;14;21;15;23;28;36;30;29;26;59;42;58;456
620;5;1;Brown;Sound;Mudeo ;5.84;13;8;16;23;16;18;17;22;32;19;27;32;20;48;43;55;42;40;491
621;1;2;Black;Telephone;Supranu ;40.97;6;4;5;3;3;4;4;2;3;2;2;2;2;2;2;2;1;1;50
622;2;2;Green;Tablets;Kayosis;11.64;11;13;12;13;7;8;10;6;7;8;7;7;5;3;3;4;3;4;131
623;3;2;Orange;Tablets;Supranu ;3.42;39;37;27;16;16;25;18;14;15;10;8;11;13;9;7;9;6;8;288
624;4;2;Purple;Tablets;Supranu ;7.7;48;34;31;30;39;19;22;15;17;20;17;15;19;12;13;11;12;8;382
625;5;2;Brown;Computers;Transible ;2.39;61;81;55;49;37;30;44;37;26;31;23;25;21;16;7;18;13;9;583
626;1;3;Yellow;Sound;Dynotri ;21.84;4;5;6;4;7;4;7;4;4;6;7;5;5;6;5;3;4;4;90
627;2;3;Green;Telephone;Verer ;12.14;6;8;6;5;9;9;6;9;13;9;12;7;9;8;4;9;9;6;144
628;3;3;Gray;Computers;Hyperive ;7.14;20;11;15;10;10;14;12;12;9;15;13;19;15;11;6;7;10;14;223
629;4;3;Black;Smart home;Dynotri ;0.06;25;20;17;19;29;23;13;17;22;25;19;18;22;17;15;21;21;22;365
630;5;3;Brown;Telephone;Verer ;0.5;40;31;37;52;67;45;53;32;41;49;40;38;43;51;47;31;48;24;769
631;1;1;Yellow;Television;Octozzy ;15.94;1;1;1;3;3;3;2;3;5;5;3;4;8;2;10;5;9;9;77
632;2;1;Green;Accessories;Octozzy ;5.47;5;4;6;5;5;3;8;11;5;10;11;16;13;20;14;20;7;26;189
633;3;1;Green;Sound;Transible ;12.05;5;6;6;6;5;9;9;8;14;11;6;18;12;17;24;20;23;21;220
634;4;1;Blue;Photography;Outise ;6.55;8;5;10;11;12;12;12;12;11;14;22;23;26;30;18;25;32;37;320
635;5;1;Brown;Kitchen;Animity ;2.53;7;13;8;16;16;14;18;16;20;27;27;26;39;36;41;29;31;43;427
636;1;2;Yellow;Photography;Supranu ;19.21;7;8;6;7;7;6;6;4;4;4;3;3;2;2;2;2;1;2;76
637;2;2;White;Accessories;Supranu ;18.3;7;16;13;12;8;6;7;7;8;7;5;7;3;3;2;4;3;2;120
638;3;2;Gray;Accessories;Transible ;7.34;22;24;17;17;25;19;13;8;13;12;8;10;7;6;7;6;7;2;223
639;4;2;Purple;Tablets;Supranu ;3.85;32;51;33;26;18;43;15;34;14;16;17;13;11;13;6;9;8;7;366
640;5;2;Red;Photography;Supranu ;3.11;58;58;49;47;42;37;26;32;24;26;26;29;18;13;19;14;17;13;548
641;1;3;Black;Telephone;Verer ;17.39;6;7;6;4;5;7;8;5;4;7;6;8;4;4;3;6;4;8;102
642;2;3;White;Games;Verer ;5.57;10;8;6;7;8;3;7;9;7;6;8;6;8;7;7;4;5;9;125
643;3;3;Orange;Telephone;Hyperive ;8.62;16;16;12;14;13;10;18;16;10;14;15;12;14;15;10;17;18;15;255
644;4;3;Brown;Kitchen;Hyperive ;4.45;25;19;17;20;19;25;22;24;30;22;27;19;19;21;16;23;15;25;388
645;5;3;Brown;Television;Verer ;1.84;14;38;34;31;28;28;24;26;40;28;25;20;21;32;37;14;27;35;502
646;1;1;Yellow;Smart home;Supranu ;55.59;1;2;1;2;1;2;1;2;2;2;3;2;3;3;6;5;4;6;48
647;2;1;White;Games;Octozzy ;16.64;5;3;4;3;6;6;6;6;7;10;7;9;11;14;11;13;17;14;152
648;3;1;Orange;Accessories;Dynotri ;3.18;6;4;6;6;6;7;12;12;10;11;11;24;10;18;17;29;31;34;254
649;4;1;Green;Smart home;Supranu ;2.12;11;9;15;9;15;11;10;25;19;29;23;29;31;29;43;44;43;40;435
650;5;1;Orange;Television;Outise ;2.59;11;4;14;22;29;27;13;23;49;56;28;43;15;64;66;82;70;123;739
651;1;2;Blue;Accessories;Kayosis;9.36;9;13;11;8;8;6;5;7;5;4;3;3;5;3;2;2;2;2;98
652;2;2;Green;Tablets;Supranu ;2.69;23;18;14;21;13;10;11;15;0;8;7;8;7;5;5;5;5;3;178
653;3;2;Gray;Accessories;Kayosis;8.24;32;33;24;26;16;17;12;18;13;5;11;10;12;12;6;6;8;8;269
654;4;2;Blue;Tablets;Kayosis;5.5;54;39;28;38;50;26;18;29;18;18;17;14;14;11;12;9;8;7;410
655;5;2;Green;Tablets;Supranu ;3.53;32;71;70;37;30;46;49;33;43;30;30;19;26;18;19;18;17;8;596
656;1;3;Yellow;Games;Supranu ;212.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
657;2;3;Green;Telephone;Dynotri ;3.28;12;8;9;7;9;9;6;8;11;9;9;6;9;11;6;5;8;8;150
658;3;3;Orange;Tablets;Verer ;12.71;18;13;13;17;11;13;13;8;16;11;10;12;17;15;7;11;17;12;234
659;4;3;Brown;Games;Verer ;13.02;23;20;22;22;23;26;21;24;26;24;18;18;20;19;14;16;24;12;372
660;5;3;Purple;Photography;Hyperive ;3.43;58;40;66;50;29;55;66;40;38;46;42;55;52;51;35;42;39;35;839
661;1;1;Black;Smart home;Octozzy ;27.1;1;3;2;3;2;3;3;4;5;6;7;4;7;9;9;13;7;5;93
662;2;1;Black;Sound;Hyperive ;16.67;3;5;2;4;6;6;9;10;11;12;4;11;14;9;10;14;22;22;174
663;3;1;Gray;Sound;Mudeo ;3.69;4;6;5;4;5;13;13;10;8;11;16;12;16;19;17;25;22;23;229
664;4;1;Yellow;Television;Mudeo ;6.79;12;7;7;10;14;15;15;14;20;12;26;20;38;23;36;15;23;27;334
665;5;1;Red;Television;Octozzy ;5.75;10;10;18;20;9;17;16;23;15;29;31;42;30;38;57;34;51;63;513
666;1;2;Black;Tablets;Mudeo ;15.39;14;8;8;5;7;6;3;4;5;4;1;3;3;4;2;2;2;2;83
667;2;2;Blue;Accessories;Kayosis;19.12;19;13;17;13;11;15;12;8;8;5;7;7;4;3;4;3;4;3;156
668;3;2;Gray;Photography;Supranu ;10.59;17;20;17;18;18;21;13;11;13;9;11;9;7;6;8;6;5;4;213
669;4;2;Blue;Photography;Supranu ;6.12;49;29;34;35;15;21;15;26;32;10;22;17;12;9;11;8;10;4;359
670;5;2;Yellow;Games;Mudeo ;4.38;66;57;49;51;63;39;51;32;32;19;22;23;21;22;20;12;8;13;600
671;1;3;Blue;Computers;Verer ;29.29;7;7;4;3;5;5;6;3;7;4;3;5;4;5;7;4;6;6;91
672;2;3;Green;Games;Transible ;16.98;11;10;11;10;9;7;7;9;8;12;15;7;9;9;13;11;6;12;176
673;3;3;Orange;Telephone;Verer ;5.25;19;22;17;15;16;20;21;16;9;17;12;12;17;10;20;17;16;19;295
674;4;3;Blue;Games;Verer ;2.49;12;19;29;19;20;20;15;15;17;15;22;25;17;22;5;25;4;23;324
675;5;3;Yellow;Games;Dynotri ;0.41;81;61;60;63;54;68;54;41;30;41;45;41;50;72;46;43;41;21;912
676;1;1;Black;Sound;Transible ;51.35;1;1;1;2;1;2;2;4;3;2;5;4;4;6;7;4;6;6;61
677;2;1;Green;Smart home;Animity ;20.04;5;5;4;7;7;6;6;7;7;6;10;9;8;11;10;8;12;21;149
678;3;1;Gray;Telephone;Outise ;3.36;3;4;10;8;9;8;7;5;11;15;16;16;12;15;14;24;21;23;221
679;4;1;Purple;Sound;Animity ;5.42;5;7;9;8;13;5;20;17;20;19;20;20;17;34;28;35;30;40;347
680;5;1;Brown;Sound;Outise ;1.78;14;15;14;17;16;15;23;21;24;33;18;23;8;31;52;31;54;43;452
681;1;2;Yellow;Tablets;Outise ;116.94;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;19
682;2;2;Green;Accessories;Transible ;17.48;17;16;17;10;18;7;8;9;9;8;5;6;2;5;4;4;3;5;153
683;3;2;Brown;Photography;Transible ;13.14;27;27;23;23;11;16;10;17;11;12;10;9;7;10;6;3;3;6;231
684;4;2;Purple;Tablets;Supranu ;2.91;53;57;51;33;29;34;24;41;26;19;23;17;16;12;10;12;11;8;476
685;5;2;Red;Accessories;Transible ;3.03;84;86;59;38;39;38;49;41;25;31;31;35;30;30;26;21;14;18;695
686;1;3;Black;Telephone;Dynotri ;21.45;5;3;8;5;4;5;5;5;4;3;3;5;7;5;6;9;5;4;91
687;2;3;Red;Computers;Verer ;3.38;6;6;6;12;9;7;6;11;9;7;5;11;6;9;8;10;8;9;145
688;3;3;Orange;Computers;Supranu ;6.62;19;20;10;23;14;17;14;19;12;11;13;17;17;10;13;16;17;11;273
689;4;3;Purple;Telephone;Kayosis;4.41;16;16;26;17;22;16;19;14;27;6;7;7;27;10;14;6;21;22;293
690;5;3;Gray;Telephone;Animity ;3.91;34;26;25;37;43;36;23;35;33;13;44;35;62;26;36;38;41;31;618
691;1;1;Yellow;Smart home;Supranu ;2.15;2;3;2;4;3;4;3;5;5;5;6;6;5;6;5;12;9;14;99
692;2;1;Yellow;Kitchen;Outise ;10.83;4;8;4;6;7;2;8;10;7;8;10;13;15;15;18;22;15;25;197
693;3;1;Black;Telephone;Animity ;13.94;5;7;7;9;9;7;12;9;13;9;10;10;15;28;26;31;14;16;237
694;4;1;Orange;Sound;Transible ;10.85;8;6;7;11;8;10;11;15;10;13;25;20;20;27;22;46;30;45;334
695;5;1;Red;Smart home;Mudeo ;2.03;6;10;15;17;16;14;25;27;20;25;19;24;45;48;57;53;44;57;522
696;1;2;Black;Photography;Supranu ;4.96;11;12;16;9;12;7;8;5;7;4;6;4;3;3;2;2;3;2;116
697;2;2;White;Tablets;Transible ;19.35;19;17;11;10;12;8;8;10;2;8;3;7;3;5;4;4;4;3;138
698;3;2;Gray;Computers;Kayosis;6.66;22;24;23;17;16;7;6;16;12;11;18;11;10;6;8;7;7;6;227
699;4;2;Blue;Accessories;Supranu ;3.36;38;33;66;39;32;34;25;26;14;30;22;13;18;15;10;14;13;9;451
700;5;2;Red;Telephone;Mudeo ;5.3;81;83;72;58;56;47;28;48;46;48;23;28;31;16;26;12;19;14;736
701;1;3;Yellow;Sound;Verer ;35.02;4;5;3;5;5;5;3;5;5;5;3;4;4;2;4;4;4;3;73
702;2;3;Blue;Telephone;Verer ;8.2;7;6;5;8;3;5;8;4;8;8;8;6;8;6;6;6;7;7;116
703;3;3;Gray;Computers;Outise ;10.37;12;12;15;11;12;18;14;8;13;14;14;13;17;12;10;15;10;9;229
704;4;3;Blue;Computers;Outise ;4.45;21;14;13;17;20;15;14;20;11;17;17;28;15;17;18;14;20;9;300
705;5;3;Brown;Television;Dynotri ;5.47;15;30;15;35;28;33;41;43;23;30;34;32;36;30;40;35;37;31;568
706;1;1;Yellow;Smart home;Outise ;7.86;2;1;2;2;2;2;2;3;3;3;3;4;3;5;5;6;3;8;59
707;2;1;Green;Games;Outise ;7.56;4;2;4;5;4;8;11;7;4;13;12;9;8;15;18;22;20;15;181
708;3;1;Gray;Sound;Animity ;13.84;4;5;7;5;8;7;13;7;9;11;16;23;26;18;18;17;35;38;267
709;4;1;Blue;Smart home;Hyperive ;5.78;6;7;7;10;11;10;17;15;9;18;20;23;28;27;21;31;26;32;318
710;5;1;Brown;Sound;Animity ;4.42;11;15;12;13;11;16;18;20;18;13;44;35;20;38;43;53;30;33;443
711;1;2;Black;Photography;Transible ;28.32;9;14;11;7;7;7;3;5;4;3;4;4;3;4;4;2;1;2;94
712;2;2;White;Accessories;Supranu ;9.3;24;22;16;15;14;9;12;9;11;11;9;6;2;6;6;5;4;5;186
713;3;2;Gray;Smart home;Transible ;12.11;24;31;20;25;18;23;23;19;15;17;13;16;8;9;8;8;5;8;290
714;4;2;Red;Accessories;Transible ;3.43;48;52;40;26;23;22;24;23;22;19;15;13;16;10;9;11;8;8;389
715;5;2;Brown;Photography;Hyperive ;2.13;58;53;63;46;41;25;23;22;30;19;35;27;9;14;22;14;12;16;529
716;1;3;Yellow;Computers;Verer ;10.06;6;5;6;7;2;5;6;7;8;6;8;5;5;8;6;6;3;5;104
717;2;3;White;Computers;Verer ;16.06;11;8;11;7;8;9;8;2;9;9;8;8;5;8;7;6;7;8;139
718;3;3;Gray;Computers;Mudeo ;1.73;10;20;16;20;10;23;14;20;18;14;23;18;16;13;22;13;16;17;303
719;4;3;Purple;Telephone;Kayosis;9.71;18;24;15;22;7;17;15;19;17;20;11;20;22;21;11;12;21;13;305
720;5;3;Brown;Photography;Verer ;2.91;41;22;18;35;29;25;20;35;35;22;25;34;27;26;20;40;28;24;506
721;1;1;Gray;Kitchen;Mudeo ;29.92;2;2;2;3;2;4;3;4;4;2;6;4;5;8;9;3;12;7;82
722;2;1;White;Kitchen;Animity ;14.35;4;5;5;7;7;7;7;8;11;13;15;9;15;13;19;18;12;24;199
723;3;1;Brown;Smart home;Octozzy ;10.45;4;8;9;9;10;6;5;20;11;14;12;25;28;21;21;28;25;34;290
724;4;1;Purple;Smart home;Octozzy ;4.05;9;8;8;10;13;17;18;12;23;31;17;20;24;28;30;22;37;53;380
725;5;1;Red;Tablets;Mudeo ;2.21;12;13;15;19;16;15;21;14;30;25;27;50;23;40;38;51;40;70;519
726;1;2;Black;Tablets;Transible ;16.24;7;11;11;7;6;10;4;8;6;5;5;4;3;5;4;2;3;2;103
727;2;2;White;Photography;Kayosis;14.59;14;14;20;19;8;11;8;15;6;9;9;6;7;8;3;5;3;4;169
